Time (UTC),Inbound Velocity (kts),Inbound Latitude,Inbound Longitude,Outbound Velocity (kts),Outbound Latitude,Outbound Longitude,Meso Center Latitude,Meso Center Longitude
0:30:15,-17.5,32.673252,-91.391228,7.77,32.686424,-91.359390,32.679838,-91.375309
0:32:23,-21.4,32.675407,-91.321953,10.7,32.700981,-91.331589,32.688194,-91.326771
0:34:28,-20.4,32.690506,-91.291191,10.7,32.713577,-91.300499,32.702042,-91.295845
0:36:40,-29.1,32.693523,-91.272835,11.7,32.740780,-91.250061,32.717152,-91.261448
0:38:40,-35.9,32.676960,-91.218681,17.5,32.759281,-91.207695,32.718121,-91.213188
0:40:41,-36.9,32.681480,-91.227341,18.5,32.760730,-91.184486,32.721105,-91.205914
0:42:50,-37.9,32.774498,-91.217766,20.4,32.782140,-91.132927,32.778319,-91.175347
0:44:51,-43.7,32.773247,-91.191872,23.3,32.787369,-91.144211,32.780308,-91.168042
0:46:52,-46.6,32.780605,-91.154884,27.2,32.811958,-91.126030,32.796282,-91.140457
0:48:48,-54.4,32.816216,-91.112862,36.9,32.819576,-91.096786,32.817896,-91.104824
0:50:49,-51.5,32.809593,-91.077507,99.1,32.829517,-91.095421,32.819555,-91.086464
0:52:36,-52.5,32.799580,-91.072850,44.7,32.847599,-91.045242,32.823590,-91.059046
0:54:46,-54.4,32.833233,-91.036705,44.7,32.841408,-91.034042,32.837321,-91.035374
0:56:46,-64.1,32.845093,-91.039925,51.5,32.868454,-91.003288,32.856774,-91.021607
0:58:34,-69.0,32.851990,-90.993484,52.5,32.875072,-90.977394,32.863531,-90.985439
1:00:57,-72.8,32.868977,-90.966301,57.3,32.885098,-90.956360,32.877038,-90.961331
1:02:58,-93.2,32.885315,-90.939301,58.3,32.902817,-90.916389,32.894066,-90.927845
1:04:58,-84.5,32.889824,-90.911522,69.0,32.914219,-90.899025,32.902022,-90.905274
1:07:08,-71.9,32.895973,-90.889336,69.9,32.926807,-90.869568,32.911390,-90.879452
1:09:03,-83.5,32.911716,-90.863297,72.8,32.942905,-90.844688,32.927311,-90.853993
1:11:01,-96.2,32.926395,-90.837067,96.2,32.952621,-90.841820,32.939508,-90.839444
1:13:09,-76.7,32.938576,-90.809448,75.8,32.961468,-90.794037,32.950022,-90.801743
1:15:00,-80.6,32.953354,-90.784798,72.8,32.977058,-90.770775,32.965206,-90.777787
1:16:54,-82.6,32.959187,-90.762932,72.8,32.991043,-90.745407,32.975115,-90.754170
1:19:01,-88.4,32.983288,-90.736336,78.7,32.997173,-90.724380,32.990231,-90.730358
1:21:02,-79.6,32.986927,-90.713745,81.6,32.994358,-90.708565,32.990643,-90.711155
1:23:03,-81.6,32.994431,-90.695908,74.8,33.006622,-90.682831,33.000527,-90.689370
1:25:13,-60.2,33.014973,-90.666138,79.6,33.017918,-90.657204,33.016446,-90.661671
1:27:03,-56.3,33.024818,-90.650475,80.6,33.047916,-90.622498,33.036367,-90.636487
1:28:58,-63.1,33.035999,-90.624207,77.7,33.059948,-90.597115,33.047974,-90.610661
1:31:05,-64.1,33.058098,-90.595314,81.6,33.074760,-90.574028,33.066429,-90.584671
1:32:55,-58.3,33.061111,-90.574860,87.4,33.081924,-90.545296,33.071518,-90.560078
1:34:49,-55.4,33.074249,-90.538895,87.4,33.101936,-90.535484,33.088093,-90.537190
1:37:57,-60.2,33.108078,-90.517303,99.1,33.123573,-90.505615,33.115826,-90.511459
1:39:47,-56.3,33.103626,-90.492317,94.2,33.115650,-90.489212,33.109638,-90.490765
1:41:28,-42.7,33.140312,-90.470253,77.7,33.144394,-90.440170,33.142353,-90.455212
1:43:34,-86.4,33.136707,-90.435760,82.6,33.155807,-90.402550,33.146257,-90.419155
1:45:25,-45.7,33.148357,-90.410309,84.5,33.167908,-90.388054,33.158133,-90.399182
1:47:05,-79.9,33.155647,-90.402763,87.4,33.182697,-90.362648,33.169172,-90.382706
1:49:13,-53.4,33.169594,-90.367332,80.6,33.195660,-90.368088,33.182627,-90.367710
1:51:08,-52.5,33.172626,-90.358124,112,33.207722,-90.351860,33.190174,-90.354992
1:52:53,-44.7,33.182007,-90.341499,82.6,33.211372,-90.310081,33.196690,-90.325790
1:55:00,-42.7,33.194225,-90.304123,85.5,33.224445,-90.272308,33.209335,-90.288216
1:56:55,-46.6,33.202984,-90.276054,83.5,33.225536,-90.230255,33.214260,-90.253155
1:58:40,-33.0,33.211884,-90.268272,103,33.243938,-90.247139,33.227911,-90.257706
